PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-57097,SAUTEED|Kale & White Bean,1.65,Kg,,1650.0,g
P-58715,SAUTEED|Mixed Pesto Mushrooms,2.25,Kg,PREP,2250.0,g
P-50672,SAUTEED|Peppers & Onions,5.8,Kg,,5800.0,g
P-26712,SC SAUCE - Chicken Stock,40.0,L,PREP,40000.0,ml
P-71535,SEARED|Cauli|Red Chile Adobo,3.7,Kg,,3700.0,g
P-35733,SEASONING|Sesame & Nori,150.0,g,PREP,150.0,g
P-50881,SEASONING|Sushi,100.0,ml,PREP,100.0,ml
P-53963,SEAWEED|Hydrated&Lemoned|STOLW,3.0,Kg,,3000.0,g
P-54344,SESAME SEEDS|Toasted,3.0,L,,3000.0,ml
P-50978,SHRED|Carrot,1.0,Kg,,1000.0,g
P-46864,SHRED|Iceberg Lettuce,600.0,g,,600.0,g
P-34293,"SHREDDED|1/8"" Cabbage",44.0,lb,,19958.048,g
P-9714,SHREDDED|Carrot Jumbo,0.9,Kg,,900.0,g
P-51534,SHREDDED|Jicama,800.0,g,,800.0,g
P-26633,SHREDDED|Lettuce|Iceberg,7.5,lb,PREP,3401.94,g
P-53938,SHRIMP|Roll Filling|Formal,12.0,each,,456.0,g
P-57533,SIDE BAR|MIX|MASTER,4.0,Kg,,4000.0,g
P-54581,SLICE|Multigrain Bread,22.0,slice,,38.0,g
P-34298,"SLICED|1/8"" Green Cabbage",18.0,Kg,PREP,18000.0,g
P-45403,"SLICED|1/8""Red Cabbage",18.0,Kg,PREP,18000.0,g
P-51510,SLICED|Avocado|1/4ea,4.0,PTN,,160.0,g
P-44506,SLICED|Avocado|Quarter,4.0,each,,160.0,g
P-54397,SLICED|Carrot,0.95,Kg,,950.0,g
P-50619,SLICED|Celery,7.5,Kg,,7500.0,g
P-19209,SLICED|Celery,15.4,Kg,,15400.0,g
P-51511,SLICED|Cucumber,200.0,slice,,2836.0,g
P-55317,SLICED|Egg,1.0,Kg,,1000.0,g
P-18318,SLICED|Green Onion,160.0,g,,160.0,g
P-39057,SLICED|Green Onion v1,150.0,g,PREP,150.0,g
P-50840,"SLICED|Green Pepper 1/8""",1.92,lb,PREP,870.8966399999999,g
P-44475,SLICED|Jalepeno|1/8th,214.0,g,FOOD - GROCERY,214.0,g
P-50923,SLICED|Kalamata Olives,3.0,Kg,,3000.0,g
P-58359,SLICED|Mushroom Foodservice,10.0,lb,,4535.92,g
P-34123,"SLICED|Onion 1/8""",11.01,Kg,PREP,11010.0,g
P-50547,SLICED|Onion Red,23.0,lb,,10432.616,g
P-50553,SLICED|Onion Yellow,23.0,lb,,10432.616,g
P-35258,SLICED|Red onion,11.01,Kg,PREP,11010.0,g
P-50838,SLICED|Red Pepper,363.2,g,,363.2,g
P-50488,SLICED|Smoked Meat,3.96,Kg,,3960.0,g
P-9779,SLICED|Tomato,768.0,slice,,11250.0,g
P-50841,"SLICED|Zucchini 3/4""",900.0,g,,900.0,g
P-50495,SLURRY|Cornstarch,2.0,L,,2000.0,ml
P-50784,SMASHED|Avocado,2.5,L,,2500.0,ml
P-44913,SMASHED|Chunky Avocado,1.6,Kg,PREP,1600.0,g
P-56682,SMOKED|Chorizo,1.5,Kg,,1500.0,g
