ProdId,Description,SalesGroup
R-32742,FF|Overnight Oats,GV FRESH FARE BREAKFAST
R-61853,FF|Overnight oats|AppleCin|AAD,GV FRESH FARE BREAKFAST
R-61855,FF|Overnight oats|Bannana|AAD,GV FRESH FARE BREAKFAST
R-66411,FF|Overnight oats|blue|AAD,GV FRESH FARE BREAKFAST
R-69124,FF|Overnight oats|straw|AAD,GV FRESH FARE BREAKFAST
R-56959,FF|Overnite oat|Strawberry|AAD,GV FRESH FARE BREAKFAST
R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE
R-46347,FF|Pasta|Avocado Spin old,GV FRESH FARE DAY
R-68820,FF|Pasta|blanco|AAD,SPECIALS
R-68821,FF|Pasta|Duxcell Spaghetti|AAD,SPECIALS
R-61911,FF|Pasta|Ravioli butternut|AAD,GV - FLEX BC
R-36568,FF|Pasta|Spinach Avocado|AAD,GV FRESH FARE DAY
R-69778,FF|pasta|Sundry tom penne|AAD,GV FRESH FARE DAY
R-55234,FF|Pasta|Tomato basil|AAD,GV FRESH FARE DAY
R-17140,FF|Perogies|Veg|AAD,GV FLEX GLOBAL BOWL
R-64040,FF|Pumpkin pie,SPECIALS
R-70822,FF|Quesadilla|AAD,GV FRESH FARE DAY
R-56509,FF|Quesadilla|Breakfast|AAD,FT BUENO
R-54608,FF|Ratatoullie|bowl|AAD,GV FRESH FARE FEATURE
R-53778,FF|Ravioli Squash+ Pumpkin|AAD,SPECIALS
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE
R-55151,FF|Risotto|Primavera|AAD,GV FRESH FARE FEATURE
R-55148,FF|Risotto|Squash|Herbs&cheese,GV FRESH FARE FEATURE
R-50534,FF|Salad|UBC Power|22/23,GV FRESH FARE FEATURE
R-36574,FF|Salad|UBC Power|AAD,GV FRESH FARE DAY
R-65755,FF|Sandwich|breakfast TMRW|AAD,GV FRESH FARE BREAKFAST
R-56688,FF|Shakshuka|AAD,SPECIALS
R-16992,FF|Side|Cornbread Jalapeno,GV FRESH FARE FEATURE
R-50338,FF|Side|Papadum,GV FRESH FARE DAY
R-37692,FF|Soup|Soba noodle,GV FRESH FARE DAY
R-50694,FF|Spaghetti Puttanesca|AAD,GV FRESH FARE DAY
R-56719,FF|Toast|Beans On Toast|AAD,GV FRESH FARE DAY
R-61875,FF|Toast|Bruscetta|AAD,GV FRESH FARE DAY
R-56718,FF|Toast|Farm Veg toast|AAD,GV FRESH FARE DAY
R-61874,FF|Toast|Mushroom toast|AAD,GV FRESH FARE DAY
R-61857,FF|Toast|Poached egg asparagus,GV FRESH FARE DAY
R-68811,FF|Toast|primavera|AAD,GV FRESH FARE DAY
R-65943,FF|Toast|Shaved fennel|AAD,GV FRESH FARE DAY
R-36669,FF|Toast|Smashed Avocado|AAD,GV FRESH FARE DAY
R-50332,FF|Toast|SP,GV FRESH FARE DAY
R-36552,FF|Yaki Soba Miso Noodle|AAD,GV FRESH FARE DAY
R-46867,FLX| Arancini|SP,SPECIALS
R-57399,FLX|Add|chow|Salmon + Brocco,FOOD
R-62362,FLX|Aloo gobi,GV FLEX GLOBAL BOWL
R-62415,FLX|Arugula & vinaigrette,GV FLEX GLOBAL BOWL
R-47102,FLX|Avocado Harissa Mash,GV-FLEX PLANT FORWARD
R-62414,FLX|baked beans,GV - FLEX BC
R-54786,FLX|Baked Chicken Alfredo|Sp,SPECIALS
R-43867,FLX|Bao,GV FLEX BAO
R-61963,FLX|Bao BBQ Pork x2| +1,GV FLEX BAO
R-61962,FLX|Bao BBQ Pork x2| +2,GV FLEX BAO
R-61964,FLX|Bao BBQ Pork(1)|AAD,GV FLEX BAO
R-61974,FLX|Bao Mushroom|sides,GV FLEX BAO
R-44885,FLX|Bao Shitake & Kimchi|AAD,GV FLEX BAO
R-61960,FLX|Bao Shitake & Kimchix2| +1,GV FLEX BAO
R-61961,FLX|Bao Shitake & Kimchix2| +2,GV FLEX BAO
R-61972,FLX|Bao Thai chicken|x2,GV FLEX BAO
R-61973,FLX|Bao Thai chicken|x2| +1,GV FLEX BAO
R-54259,FLX|Bao Thai chicken|x2| +2,GV FLEX BAO
R-44882,FLX|Bao|Bowl|Avocado & Egg,GV FLEX BAO
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO
R-51223,FLX|Bao|Bowl|Smoked Tofu,GV FLEX BAO
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO
R-44881,FLX|Bao|Bun|Avocado & Egg,GV FLEX BAO
R-54307,FLX|Bao|Bun|Pork Belly (1 ea),GV FLEX BAO
R-50125,FLX|Bao|Bun|Portobello,GV FLEX BAO
R-50558,FLX|Bao|Bun|Smoked Tofu,GV FLEX BAO
R-40586,FLX|Bao|Bun|Thai Chicken|AAD,GV FLEX BAO
R-61970,FLX|Bao|Mushroom|AAD,GV FLEX BAO
R-61975,FLX|Bao|Mushroom|x2|+1,GV FLEX BAO
R-62030,FLX|Bao|mushroom|x2|+2,GV FLEX BAO
R-44883,FLX|Bao|Pork Belly|AAD,GV FLEX BAO
R-62032,FLX|Bao|pork belly|x2|+1,GV FLEX BAO
R-62031,FLX|Bao|pork belly|x2|+2,GV FLEX BAO
R-50124,FLX|Bao|Salmon x 2,GV FLEX BAO
R-10664,FLX|Bao|Side|Veg Egg Roll,GV FLEX BAO
R-51251,FLX|BBP|Add On|Pork Belly,GV FLEX BAO
R-65940,FLX|BBQ beans|SIDES,GV - SIDES
R-28338,FLX|BBQ Ribs 170g and slaw,GV - FLEX BC
R-40749,FLX|BBQ Ribs+1,GV - FLEX BC
R-40750,FLX|BBQ Ribs+2,GV - FLEX BC
R-54263,FLX|Beef and broccoli|SP,SPECIALS
R-62376,FLX|Beef brisket| +1,GV - FLEX BC
R-61934,FLX|Beef brisket| +3,GV - FLEX BC
R-61930,FLX|beef brisket| 115g,GV - FLEX BC
R-61932,FLX|Beef brisket|AAD ,GV - FLEX BC
R-61914,FLX|Beef short rib +1,GV - FLEX BC
R-61913,FLX|Beef Short Rib +2,GV - FLEX BC
R-61915,FLX|Beef Short Rib 150g,GV - FLEX BC
R-51464,FLX|Beef Short Ribs 150g V2,GV FLEX GLOBAL BOWL
R-51465,FLX|Beef Short Ribs+1 V2,GV FLEX GLOBAL BOWL
R-51466,FLX|Beef Short Ribs+2 V2,GV FLEX GLOBAL BOWL
R-63855,FLX|Benny|Asparagus Mushroom,GV FLEX GLOBAL BOWL
R-62001,FLX|Benny|Classic|AAD,GV FLEX GLOBAL BOWL
R-68110,FLX|Benny|fennel|AAD,GV FLEX GLOBAL BOWL
R-44758,FLX|Benny|Ham|AAD,GV FLEX GLOBAL BOWL
R-62000,FLX|Benny|mushroom spin|AAD,GV FLEX GLOBAL BOWL
R-62419,FLX|Benny|mushroom spin|x1,GV FLEX GLOBAL BOWL
