ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-58247,BEV|Ice Tea|Steaz|Half & Half,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
R-39229,BEV|Ice Tea|Steaz|Lemon Unswee,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
R-39812,BEV|Ice Tea|Steaz|Peach,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
R-38655,BEV|Ice Tea|Steaz|Raspberry,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
R-56320,BEV|Iced Coffee|Tim's|Double,FT BEVERAGES,1.0,4.0163,0.0162,0.0036899999999999,0.02,17.6,401.63,1.62,2.0,1760.0,0.37
R-22765,BEV|Juice|Bulk 12oz,FT BEVERAGES,360.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-22863,BEV|Juice|Bulk 12oz|To Go,FT BEVERAGES,362.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38339,BEV|Juice|MM|Apple|355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38204,BEV|Juice|MM|Cranberry 355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38822,BEV|Juice|MM|Five Alive|355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38197,BEV|Juice|MM|Grapefruit|355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38340,BEV|Juice|MM|Lemonade|355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38338,BEV|Juice|MM|Orange|355ml,FT BEVERAGES,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-38148,BEV|Juice|Simply Apple,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38141,BEV|Juice|Simply|Lemonade,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38142,BEV|Juice|Simply|Orange,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-41896,BEV|Juice|Simply|Peach 340ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64374,BEV|KARMA - APPLE,FT BEVERAGES,1.0,0.3581,0.0027,0.00061,0.11,1.02,35.81,0.27,11.0,102.0,0.06
R-64372,BEV|KARMA - PEACH,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64373,BEV|KARMA - PEAR,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64764,BEV|KARMA |CHERRY,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64763,BEV|KARMA|BERRY,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-32115,BEV|Kombucha|Asst,FT BEVERAGES,0.9990000000000001,0.10196460000000002,0.0026307000000000006,0.00010656000000000001,0.0,0.01,10.21,0.26,0.0,1.0,0.01
R-40511,BEV|Kombucha|Cherry,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-40514,BEV|Kombucha|Pear,FT BEVERAGES,1.0,0.3062,0.0079,0.00032,0.01,0.04,30.62,0.79,1.0,4.0,0.03
R-40513,BEV|Kombucha|Traditional,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-53132,BEV|Milk-To-Go|1%,FT BEVERAGES,473.0010973625459,1055.9749498618837,9.2708215083059,0.9696522495931719,93.32,4624.25,223.25,1.96,19.73,977.64,0.2
R-40503,BEV|Milk-To-Go|1%.,FT BEVERAGES,473.0010973625459,1055.9749498618837,9.2708215083059,0.9696522495931719,93.32,4624.25,223.25,1.96,19.73,977.64,0.2
R-42483,BEV|Milk-To-Go|2%,FT BEVERAGES,1.0,2.2325,0.019600000000000003,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2
R-22301,BEV|Milk-To-Go|Asst,FT BEVERAGES,79.185,176.78051250000001,1.5520260000000001,0.16232924999999207,15.62,774.14,223.25,1.96,19.73,977.63,0.2
R-40904,BEV|Milk-To-Go|Banana,FT BEVERAGES,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-40504,BEV|Milk-To-Go|Chillin' Choco,FT BEVERAGES,473.0,1055.9724999999999,9.270800000000001,0.9696499999999527,93.32,4624.24,223.25,1.96,19.73,977.64,0.2
R-52289,BEV|Milk-To-Go|Choc Low Sugar,FT BEVERAGES,1.0,2.2325,0.019600000000000003,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2
R-52811,BEV|Milk-To-Go|Chocolate,FT BEVERAGES,473.0,1055.9724999999999,9.270800000000001,0.9696499999999527,93.32,4624.24,223.25,1.96,19.73,977.64,0.2
R-40534,BEV|Milk-To-Go|Chocolate.,FT BEVERAGES,473.0,1055.9724999999999,9.270800000000001,0.9696499999999527,93.32,4624.24,223.25,1.96,19.73,977.64,0.2
R-40499,BEV|Milk-To-Go|Iced Coffee,FT BEVERAGES,1.0,2.2325,0.019600000000000003,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2
R-22299,BEV|Milk|237ml|2%,FT BEVERAGES,265.00034450044785,591.6132690972498,5.194006752208779,0.5432507062258916,52.28,2590.75,223.25,1.96,19.73,977.64,0.2
R-20389,BEV|Milk|237ml|Chocolate,FT BEVERAGES,250.0,558.125,4.9,0.512499999999975,49.32,2444.1,223.25,1.96,19.73,977.64,0.2
R-38174,BEV|Milk|473 ml|2%,FT BEVERAGES,462.00046200046194,1031.4160314160313,9.055209055209055,0.9471009471009008,91.15,4516.7,223.25,1.96,19.73,977.64,0.2
R-49813,BEV|Milk|473 ml|Chocolate,FT BEVERAGES,1.0,2.2325,0.019600000000000003,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2
