PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-56918,BATCH|Rice pudding ,600.0,g,,600.0,g,1295.1558999999997,2.1585931666666665,4.077249999999999,0.006795416666666666,755650.7,1259.4178333333332,33223874.9,55373.12483333333,1.1248,0.0018746666666666666
P-56625,BATCH|Roasted Carrots ,3.0,Kg,,3000.0,g,1710.8510460829493,0.5702836820276498,38.725092165898616,0.012908364055299538,62389.36866359447,20.796456221198156,1092257.525345622,364.085841781874,2.509658525345622,0.000836552841781874
P-56995,BATCH|Roasted Corn|GARNISH,975.0,g,,975.0,g,1063.377042857143,1.090643120879121,6.760785714285714,0.006934139194139194,43956.34285714286,45.08342857142858,350128.82857142854,359.1064908424908,2.1623214285714285,0.0022177655677655676
P-35271,BATCH|Roasted Garlic Mayo,4.0,Kg,PREP,4000.0,g,6976.1480183673475,1.744037004591837,5.369979591836736,0.001342494897959184,15001.64693877551,3.7504117346938775,382930.9265306122,95.73273163265306,12.293637755102042,0.0030734094387755103
P-71430,BATCH|Roasted Mojo Chicken,4.5,Kg,PRODUCTION FOOD,4500.0,g,23611.21286855446,5.246936193012102,590.5333281075683,0.1312296284683485,1999558.8945594642,444.34642101321424,10207460.419074249,2268.3245375720553,63.420358841647804,0.014093413075921735
P-42012,BATCH|Roasted Serrano Sour Cre,1.0,Kg,,1000.0,g,6334.584805546396,6.334584805546395,25.816300037989006,0.025816300037989005,31517.60052621811,31.51760052621811,27677496.718931187,27677.496718931186,7.102880005909402,0.007102880005909402
P-46421,BATCH|Roasted Squash,9.5,Kg,PREP,9500.0,g,12091.947,1.2728365263157895,117.545,0.012373157894736843,1104748.5,116.28931578947369,41480319.49999999,4366.3494210526305,50.857,0.005353368421052632
P-26947,BATCH|Rosemary Potatoes ,10.0,Kg,,10000.0,g,15236.894887755103,1.5236894887755104,86.78459693877552,0.008678459693877552,127795.60204081633,12.779560204081633,6821111.948979592,682.1111948979592,20.110508163265305,0.0020110508163265306
P-46572,BATCH|Sage Brown Butter,1.5,L,,1500.0,ml,14887.109,9.924739333333333,130.8115,0.08720766666666667,1317041.8,878.0278666666667,65209480.9,43472.98726666666,18.1889,0.012125933333333333
P-61504,BATCH|Salad|Tomato bocconcini,6.5,Kg,,6500.0,g,21571.030071428573,3.318620010989011,222.17464285714283,0.03418071428571428,3489078.0714285714,536.7812417582418,182919442.2142857,28141.452648351646,23.687535714285715,0.003644236263736264
P-71862,BATCH|Sambal Olek,500.0,ml,,500.0,ml,332.09911111111114,0.6641982222222222,4.197111111111111,0.008394222222222221,41827.33333333333,83.65466666666666,1510894.4444444445,3021.788888888889,0.619288888888889,0.001238577777777778
P-26205,BATCH|Sauteed Mushroom,5.25,Kg,PREP,5250.0,g,3596.187571428572,0.6849881088435376,47.42964285714286,0.00903421768707483,519625.5714285714,98.97629931972789,20076884.714285713,3824.1685170068026,9.855285714285714,0.0018771972789115646
