Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
CST,SAUCE,R-59573,CST|SAUCE|Kung Pao,OK - CUSTOM KITCHEN,60.0,64.70646316666667,0.2813015833333333,0.1347244666666664,0.93,40.13,107.84,0.47,1.55,66.88,0.22,Green,Green
CST,SAUCE,R-58390,CST|SAUCE|Lemon Sesame,OK - CUSTOM KITCHEN,60.0,34.84178410692899,0.1581479947328264,0.0650134372515864,3.36,199.78,58.07,0.26,5.6,332.97,0.11,Green,Green
CST,SAUCE,R-61695,CST|SAUCE|Spicy Korean BBQ,OK - CUSTOM KITCHEN,60.0,27.849648450000004,0.157216695,0.0647478239999999,0.59,21.84,46.42,0.26,0.98,36.4,0.11,Green,Green
CST,SAUCE,R-55488,CST|SAUCE|Sweet Chili,OK - CUSTOM KITCHEN,60.0,48.471392640000005,0.114423744,0.0506068608,0.57,13.14,80.79,0.19,0.95,21.9,0.08,Green,Green
CST,SAUCE,R-61694,CST|SAUCE|Tamarind,OK - CUSTOM KITCHEN,60.0,60.32351999999999,0.1688745,0.0961434,0.57,13.5,100.54,0.28,0.95,22.5,0.16,Green,Green
CST,SAUCE,R-45371,CST|SAUCE|Teriyaki,OK - CUSTOM KITCHEN,60.0,23.72268812444444,0.1290209335555555,0.0508075473777777,0.48,16.84,39.54,0.22,0.8,28.07,0.08,Green,Green
CST,SAUCE,R-61693,CST|SAUCE|Thai Basil Lime,OK - CUSTOM KITCHEN,60.0,56.31191228070174,0.2613771929824561,0.0797350877192982,2.07,75.96,93.85,0.44,3.45,126.6,0.13,Green,Green
CST,SAUCE,R-61697,CST|SAUCE|Thai Cashew,OK - CUSTOM KITCHEN,60.0,160.9945957273864,0.3313412339318182,0.1598358217068181,40.01,2832.04,268.32,0.55,66.68,4720.07,0.27,Yellow,Red
CST,SAUCE,R-57402,CST|SAUCE|Yellow Curry,OK - CUSTOM KITCHEN,60.0,195.33711785454545,0.0509676763636363,0.0115825461818181,0.26,8.59,325.56,0.08,0.43,14.32,0.02,Yellow,Green
CST,Shrimp,R-58439,CST|Shrimp,OK - CUSTOM KITCHEN,689.0,2312.601446525109,10.197166927998838,1.6439713461124092,221.89,6018.2,335.65,1.48,32.2,873.47,0.24,Yellow,Yellow
