Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
BEV,Ice Tea,R-47748,BEV|Ice Tea|Gold Peak|Peach,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-38528,BEV|Ice Tea|Gold Peak|Raspberr,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-38527,BEV|Ice Tea|Gold Peak|Unsweet,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-37825,BEV|Ice Tea|Nestea|Green|500ml,BEVERAGE,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-37759,BEV|Ice Tea|Nestea|Half|500ml,BEVERAGE,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-37712,BEV|Ice Tea|Nestea|Lemon|500ml,BEVERAGE,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-37827,BEV|Ice Tea|Nestea|Zero|500ml,BEVERAGE,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-45812,BEV|Ice Tea|Peace|Greenest,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-45974,BEV|Ice Tea|Peace|Lemon,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-45975,BEV|Ice Tea|Peace|Peach,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-45978,BEV|Ice Tea|Peace|Razzleberry,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-37814,BEV|Ice Tea|Steaz|Asst,BEVERAGE,237.0,195.668275,0.319275,0.082775,47.83,1921.1,82.56,0.13,20.18,810.59,0.03,Green,Green
BEV,Ice Tea,R-37830,BEV|Ice Tea|Steaz|Blueberry ,BEVERAGE,473.0,782.6731,1.2771,0.3311,190.86,7683.93,165.47,0.27,40.35,1624.51,0.07,Green,Green
BEV,Ice Tea,R-40879,BEV|Ice Tea|Steaz|Coconut,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-37763,BEV|Ice Tea|Steaz|Peach,BEVERAGE,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-38272,BEV|Ice Tea|Steaz|Peach Mango,BEVERAGE,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-38948,BEV|Ice Tea|Steaz|Raspberry,BEVERAGE,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Ice Tea,R-38265,BEV|Ice Tea|Steaz|Superfruit,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Iced Coffee,R-53980,BEV|Iced Coffee|Tim's|Double,BEVERAGE,1.0,4.0163,0.0162,0.0036899999999999,0.02,17.6,401.63,1.62,2.0,1760.0,0.37,Red,Yellow
BEV,Iced Coffee,R-53981,BEV|Iced Coffee|Tim's|Vanilla,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Iced Coffee,R-56071,BEV|Iced Coffee|Tim's|Vanilla.,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-13186,BEV|Juice|Bulk 12oz,BEVERAGE,360.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-52985,BEV|Juice|Loop|Beach Bum,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-49937,BEV|Juice|Loop|Big Bang,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-54316,BEV|Juice|Loop|Big Bang.,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-49933,BEV|Juice|Loop|High Achiever,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-53071,BEV|Juice|Loop|King of Hill,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-53151,BEV|Juice|Loop|Loco Local,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-49934,BEV|Juice|Loop|Morning Glory,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-49935,BEV|Juice|Loop|Undercover,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-37829,BEV|Juice|MM|Apple|355ml,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-37757,BEV|Juice|MM|Cranberry 355ml,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
